Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
42,Self Enquiry,1,15,Salaried,Male,3,4,King,3,Single,1,0,1,1,1,VP,34613,0
20,Self Enquiry,1,16,Small Business,Male,2,3,Basic,3,Single,2,1,5,1,1,Executive,16009,1
38,Self Enquiry,1,35,Small Business,Male,3,3,Deluxe,5,Divorced,1,1,3,0,1,Manager,21673,1
30,Self Enquiry,1,23,Small Business,Female,3,3,Standard,5,Divorced,2,1,4,0,2,Senior Manager,26916,0
31,Company Invited,1,9,Small Business,Male,3,3,Standard,3,Married,1,0,4,1,0,Senior Manager,28675,0
50,Company Invited,3,14,Large Business,Male,2,3,Deluxe,3,Married,4,1,5,0,0,Manager,21796,1
36,Self Enquiry,1,33,Small Business,Male,3,3,Deluxe,3,Married,7,0,3,0,0,Manager,20237,0
53,Self Enquiry,3,8,Small Business,Male,2,3,Super Deluxe,3,Married,7,0,3,1,0,AVP,29852,0
38,Self Enquiry,1,21,Salaried,Male,3,4,Standard,3,Married,1,1,5,1,2,Senior Manager,26510,0
22,Company Invited,3,25,Small Business,Female,4,4,Deluxe,3,Married,2,1,5,0,2,Manager,21303,1
56,Self Enquiry,1,11,Salaried,Male,2,4,Deluxe,3,Divorced,2,1,4,0,1,Manager,22713,0
49,Self Enquiry,1,7,Salaried,Male,4,5,Standard,3,Unmarried,2,1,5,0,3,Senior Manager,24059,1
26,Company Invited,1,6,Small Business,Female,3,4,Basic,3,Married,2,0,1,0,0,Executive,17007,0
38,Self Enquiry,1,7,Salaried,Female,3,4,Basic,3,Single,3,0,2,1,2,Executive,20793,0
21,Self Enquiry,3,18,Salaried,Female,2,1,Basic,4,Single,2,0,5,0,1,Executive,17716,1
36,Self Enquiry,1,18,Small Business,Female,2,4,Standard,3,Unmarried,1,0,1,1,0,Senior Manager,23858,0
59,Self Enquiry,1,9,Salaried,Male,3,4,Basic,3,Divorced,4,0,3,0,1,Executive,17177,0
30,Company Invited,1,7,Salaried,Male,4,2,Deluxe,3,Unmarried,2,1,3,0,2,Manager,24972,0
27,Self Enquiry,1,11,Large Business,Male,2,4,Standard,3,Married,2,1,3,0,0,Senior Manager,27808,0
37,Self Enquiry,3,12,Small Business,Male,3,3,Deluxe,3,Divorced,5,0,3,0,0,Manager,21502,0
32,Self Enquiry,1,14,Small Business,Female,3,1,Deluxe,3,Married,6,0,3,1,2,Manager,20175,0
18,Company Invited,1,11,Salaried,Male,3,3,Basic,3,Single,2,0,2,1,1,Executive,16051,0
43,Self Enquiry,1,36,Salaried,Male,4,4,Deluxe,4,Divorced,3,0,3,1,2,Manager,23112,0
32,Company Invited,3,27,Small Business,Female,3,4,Deluxe,3,Married,3,0,1,1,2,Manager,25610,0
28,Self Enquiry,3,11,Small Business,Male,3,3,Deluxe,3,Single,2,0,3,1,0,Manager,19908,0
53,Self Enquiry,3,13,Small Business,Female,3,4,Standard,3,Divorced,1,1,2,0,0,Senior Manager,25934,0
28,Self Enquiry,1,15,Small Business,Female,3,3,Basic,3,Married,6,0,3,0,0,Executive,17377,0
36,Self Enquiry,1,29,Salaried,Male,3,6,Basic,3,Unmarried,2,0,4,1,2,Executive,22908,0
35,Self Enquiry,3,13,Salaried,Male,3,3,Basic,3,Divorced,2,0,3,1,0,Executive,17404,0
48,Self Enquiry,3,8,Small Business,Male,2,1,Deluxe,4,Married,4,0,3,0,1,Manager,23120,0
46,Self Enquiry,2,31,Small Business,Male,3,4,Basic,4,Single,3,0,4,0,2,Executive,20855,0
42,Company Invited,1,8,Salaried,Male,2,3,Standard,3,Married,3,1,3,1,0,Senior Manager,25124,0
42,Self Enquiry,1,9,Salaried,Female,3,6,Basic,3,Married,6,1,3,0,1,Executive,21456,1
44,Company Invited,1,7,Salaried,Female,3,4,Deluxe,3,Married,6,0,1,1,2,Manager,24240,0
34,Self Enquiry,3,16,Small Business,Female,4,4,Deluxe,5,Unmarried,2,1,3,0,1,Manager,26902,1
44,Self Enquiry,1,29,Small Business,Male,3,3,Basic,5,Single,1,0,3,0,2,Executive,33213,1
41,Self Enquiry,1,15,Salaried,Male,3,3,Basic,5,Divorced,3,0,2,0,2,Executive,17238,0
53,Self Enquiry,1,10,Small Business,Male,3,5,Standard,3,Divorced,4,1,2,0,1,Senior Manager,26647,0
39,Self Enquiry,1,24,Salaried,Female,4,5,Standard,3,Divorced,2,0,2,0,3,Senior Manager,27501,0
54,Self Enquiry,3,14,Small Business,Female,4,5,Standard,3,Married,2,1,1,0,2,Senior Manager,29612,0
35,Self Enquiry,1,17,Salaried,Male,3,4,Basic,4,Married,3,0,2,1,1,Executive,20686,0
44,Self Enquiry,1,18,Salaried,Male,2,4,Standard,3,Married,3,0,1,1,1,Senior Manager,26188,0
29,Self Enquiry,1,13,Large Business,Female,2,3,Basic,3,Married,4,1,4,1,0,Executive,31124,1
35,Self Enquiry,1,15,Small Business,Male,2,3,Deluxe,3,Single,2,0,4,0,1,Manager,20098,0
26,Self Enquiry,3,26,Small Business,Male,3,5,Basic,4,Married,3,1,1,0,2,Executive,21091,1
37,Self Enquiry,1,12,Salaried,Male,4,4,Deluxe,4,Unmarried,2,0,2,0,3,Manager,24592,0
28,Self Enquiry,1,21,Salaried,Male,3,4,Basic,5,Divorced,3,1,4,1,1,Executive,20913,0
56,Self Enquiry,3,33,Small Business,Male,3,5,King,3,Married,3,0,3,1,2,VP,38264,0
32,Self Enquiry,1,30,Small Business,Male,4,5,Deluxe,3,Married,2,0,3,0,2,Manager,24260,0
38,Self Enquiry,1,10,Salaried,Male,3,4,Standard,3,Divorced,3,0,2,1,1,Senior Manager,28112,0
32,Self Enquiry,1,14,Salaried,Male,3,4,Deluxe,3,Married,5,0,3,0,2,Manager,24593,0
25,Self Enquiry,1,9,Salaried,Male,2,3,Basic,5,Married,5,0,5,1,0,Executive,16118,1
47,Company Invited,1,22,Small Business,Male,3,1,Deluxe,3,Married,2,1,2,0,0,Manager,20067,0
59,Self Enquiry,1,9,Salaried,Male,3,4,Basic,3,Married,4,0,3,0,0,Executive,17177,0
41,Self Enquiry,3,14,Small Business,Male,3,4,Basic,4,Unmarried,3,0,5,0,1,Executive,23339,1
57,Self Enquiry,1,14,Salaried,Male,3,6,Standard,3,Unmarried,6,0,1,0,1,Senior Manager,25938,0
33,Company Invited,1,31,Salaried,Male,4,4,Deluxe,3,Married,3,0,4,1,3,Manager,23987,0
39,Self Enquiry,1,7,Salaried,Female,3,2,Deluxe,3,Unmarried,2,0,1,0,1,Manager,26303,0
33,Self Enquiry,1,10,Salaried,Female,3,4,Standard,3,Single,5,0,1,1,1,Senior Manager,29837,0
41,Self Enquiry,1,11,Small Business,Male,2,1,Basic,3,Divorced,3,1,1,1,1,Executive,17127,0
53,Self Enquiry,1,18,Salaried,Female,3,4,Deluxe,3,Divorced,2,0,2,1,2,Manager,21827,0
32,Self Enquiry,1,15,Salaried,Female,3,3,Deluxe,3,Married,2,1,5,1,2,Manager,21322,0
46,Self Enquiry,3,6,Small Business,Female,3,3,Standard,5,Married,2,0,2,1,1,Senior Manager,25453,0
47,Company Invited,1,7,Small Business,Male,3,5,Standard,5,Married,4,1,1,1,2,Senior Manager,29351,0
29,Company Invited,1,16,Salaried,Female,3,3,Basic,4,Married,1,0,5,0,0,Executive,18291,0
55,Self Enquiry,1,8,Large Business,Male,3,4,Basic,3,Married,1,0,5,0,0,Executive,17662,0
60,Self Enquiry,3,32,Salaried,Female,3,4,Standard,5,Unmarried,2,0,3,1,1,Senior Manager,26315,0
46,Self Enquiry,3,8,Large Business,Female,3,5,Super Deluxe,4,Married,4,1,5,1,0,AVP,31872,0
32,Company Invited,1,6,Salaried,Male,3,3,Basic,3,Married,1,0,5,1,0,Executive,17314,0
30,Company Invited,1,15,Small Business,Male,3,3,Deluxe,5,Married,2,0,2,0,1,Manager,18072,0
37,Company Invited,1,15,Salaried,Female,4,3,Standard,5,Divorced,2,0,3,0,1,Senior Manager,30391,0
27,Self Enquiry,1,13,Salaried,Female,3,5,Basic,4,Divorced,3,0,3,1,1,Executive,21046,0
35,Self Enquiry,1,6,Small Business,Male,2,4,Basic,3,Married,7,0,1,1,1,Executive,17258,0
49,Company Invited,3,14,Small Business,Female,4,4,Basic,3,Married,4,1,4,1,2,Executive,21333,1
53,Self Enquiry,1,29,Salaried,Female,3,3,Super Deluxe,3,Single,7,0,5,1,1,AVP,29275,0
37,Self Enquiry,1,16,Salaried,Female,2,3,Basic,5,Married,1,1,3,1,1,Executive,17782,0
28,Self Enquiry,3,16,Small Business,Male,3,3,Basic,4,Divorced,2,0,5,1,1,Executive,16052,0
59,Self Enquiry,3,6,Large Business,Male,3,3,Standard,3,Divorced,4,1,2,0,1,Senior Manager,26904,0
38,Self Enquiry,1,14,Small Business,Male,2,4,Standard,3,Single,6,0,1,0,1,Senior Manager,32342,0
38,Self Enquiry,1,11,Salaried,Male,3,4,Basic,3,Divorced,2,1,5,1,2,Executive,21674,0
31,Self Enquiry,1,8,Small Business,Female,2,5,Basic,3,Married,2,1,5,1,0,Executive,16129,0
27,Self Enquiry,1,9,Small Business,Male,2,4,Basic,3,Single,1,0,1,1,1,Executive,17045,0
38,Company Invited,1,35,Salaried,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,17406,0
52,Self Enquiry,1,9,Small Business,Male,2,4,Standard,3,Divorced,3,1,2,0,0,Senior Manager,22969,0
35,Self Enquiry,1,29,Salaried,Male,2,4,Deluxe,3,Divorced,4,1,4,1,1,Manager,20916,1
55,Company Invited,1,8,Salaried,Male,3,3,Standard,4,Divorced,4,0,2,1,1,Senior Manager,25976,0
23,Company Invited,3,15,Small Business,Male,2,3,Basic,5,Married,2,0,5,1,0,Executive,16790,1
42,Company Invited,3,32,Small Business,Female,3,3,Super Deluxe,4,Married,6,0,3,1,1,AVP,28525,0
33,Self Enquiry,1,9,Small Business,Male,3,4,Deluxe,4,Married,6,0,4,1,2,Manager,23561,1
23,Self Enquiry,1,6,Salaried,Male,2,3,Basic,3,Divorced,2,0,4,0,1,Executive,16223,0
36,Self Enquiry,3,23,Small Business,Male,2,4,Deluxe,4,Married,3,0,4,1,0,Manager,20507,0
45,Self Enquiry,3,8,Large Business,Male,2,5,Deluxe,3,Unmarried,1,0,5,1,1,Manager,21632,0
22,Self Enquiry,1,25,Salaried,Female,4,4,Basic,3,Unmarried,3,0,3,1,2,Executive,21371,1
28,Self Enquiry,1,12,Large Business,Male,3,5,Standard,3,Married,3,1,3,1,2,Senior Manager,31486,0
28,Self Enquiry,3,9,Small Business,Male,3,4,Basic,5,Married,2,0,5,0,2,Executive,21719,1
22,Self Enquiry,1,12,Small Business,Male,3,3,Basic,3,Divorced,1,0,2,1,0,Executive,17773,0
37,Company Invited,1,18,Salaried,Male,4,5,Deluxe,4,Unmarried,3,0,4,1,2,Manager,25177,0
37,Self Enquiry,1,16,Salaried,Female,2,3,Basic,5,Married,1,1,3,1,0,Executive,17782,0
40,Company Invited,3,28,Salaried,Female,3,6,Deluxe,3,Married,8,0,5,0,1,Manager,24414,0
30,Self Enquiry,1,15,Small Business,Male,4,5,Deluxe,3,Married,3,1,3,1,2,Manager,23734,0
43,Company Invited,1,15,Small Business,Male,3,3,Deluxe,3,Married,4,1,3,1,2,Manager,20679,0
41,Self Enquiry,2,16,Salaried,Male,3,4,King,3,Married,4,0,2,1,0,VP,34141,0
50,Self Enquiry,3,9,Small Business,Male,2,4,Basic,3,Married,2,1,4,1,1,Executive,17683,1
31,Self Enquiry,1,14,Salaried,Female,2,4,Basic,4,Single,2,0,4,0,1,Executive,16261,1
57,Self Enquiry,1,30,Salaried,Male,2,1,Standard,3,Married,4,1,4,1,0,Senior Manager,24439,0
25,Company Invited,1,11,Salaried,Male,3,5,Basic,3,Married,2,0,3,0,2,Executive,21840,0
32,Company Invited,1,30,Salaried,Male,3,3,Deluxe,3,Divorced,2,0,4,1,0,Manager,20309,0
55,Self Enquiry,1,9,Large Business,Female,3,4,Standard,3,Divorced,2,0,4,1,1,Senior Manager,32227,0
33,Self Enquiry,3,15,Small Business,Female,3,3,Deluxe,5,Unmarried,1,1,3,0,0,Manager,23224,1
42,Self Enquiry,3,7,Salaried,Female,4,4,Deluxe,3,Unmarried,2,1,4,0,3,Manager,24671,1
40,Self Enquiry,1,25,Small Business,Male,1,3,Deluxe,3,Married,1,1,1,1,0,Manager,17741,0
38,Self Enquiry,1,17,Salaried,Female,3,2,Standard,3,Married,3,1,1,0,2,Senior Manager,32422,0
29,Company Invited,3,7,Salaried,Male,3,5,Deluxe,3,Married,3,1,1,0,1,Manager,25512,0
34,Self Enquiry,1,15,Salaried,Male,3,2,Basic,5,Married,8,0,3,1,2,Executive,21821,0
49,Self Enquiry,1,13,Salaried,Male,2,4,Standard,3,Unmarried,1,0,1,1,0,Senior Manager,25965,0
48,Self Enquiry,1,6,Salaried,Male,3,4,Standard,3,Single,1,1,5,0,2,Senior Manager,20381,1
43,Self Enquiry,2,9,Large Business,Male,3,4,Basic,3,Married,2,1,4,1,1,Executive,21374,0
27,Company Invited,2,24,Salaried,Female,3,4,Basic,3,Married,2,1,5,0,2,Executive,21419,1
25,Self Enquiry,3,10,Salaried,Female,3,4,Deluxe,3,Married,2,0,4,0,1,Manager,23677,0
25,Self Enquiry,1,6,Large Business,Male,2,3,Basic,3,Divorced,5,0,5,1,1,Executive,18229,0
33,Self Enquiry,1,14,Salaried,Male,3,3,Deluxe,3,Unmarried,3,1,3,0,2,Manager,21388,0
38,Self Enquiry,1,18,Small Business,Female,4,6,Deluxe,4,Divorced,7,0,4,1,1,Manager,23455,1
28,Self Enquiry,1,14,Salaried,Female,3,3,Basic,3,Single,2,0,4,0,1,Executive,18310,0
43,Company Invited,1,33,Salaried,Female,2,3,Standard,5,Divorced,1,0,4,0,0,Senior Manager,25820,0
36,Self Enquiry,1,23,Salaried,Male,4,4,Standard,3,Married,6,1,1,0,1,Senior Manager,26310,0
48,Self Enquiry,1,9,Small Business,Female,4,4,Deluxe,3,Married,7,0,1,0,1,Manager,23748,0
31,Self Enquiry,2,8,Salaried,Male,3,4,Deluxe,5,Divorced,4,0,3,0,1,Manager,21410,0
36,Self Enquiry,1,14,Salaried,Male,4,4,Basic,4,Unmarried,3,1,3,1,2,Executive,24041,1
38,Self Enquiry,1,16,Small Business,Female,2,5,Standard,3,Married,4,0,1,1,1,Senior Manager,28206,0
61,Self Enquiry,3,23,Small Business,Male,3,4,Deluxe,5,Unmarried,2,0,4,1,1,Manager,24083,0
40,Self Enquiry,1,9,Large Business,Female,4,5,Deluxe,3,Unmarried,3,0,1,1,2,Manager,23231,0
27,Company Invited,3,14,Salaried,Male,2,3,Standard,3,Unmarried,2,0,2,1,0,Senior Manager,23726,0
30,Self Enquiry,1,15,Small Business,Male,2,4,Basic,3,Single,2,0,4,0,1,Executive,17206,0
42,Self Enquiry,1,10,Large Business,Male,2,3,King,3,Divorced,2,0,2,0,1,VP,34232,0
31,Self Enquiry,3,17,Small Business,Male,4,5,Deluxe,3,Married,3,0,1,0,2,Manager,25256,0
41,Self Enquiry,1,15,Salaried,Male,3,3,Basic,5,Married,3,0,1,0,0,Executive,17238,0
33,Company Invited,1,6,Small Business,Male,2,4,Basic,3,Married,2,0,3,0,0,Executive,17008,0
31,Company Invited,3,11,Small Business,Female,2,3,Basic,4,Married,2,0,3,0,0,Executive,17789,0
38,Self Enquiry,3,9,Salaried,Male,2,3,Deluxe,3,Unmarried,1,1,3,1,0,Manager,21861,0
22,Self Enquiry,1,8,Large Business,Male,3,3,Basic,3,Divorced,1,0,5,1,2,Executive,17523,0
29,Self Enquiry,1,6,Large Business,Male,3,4,Basic,5,Single,7,0,3,0,2,Executive,17362,1
49,Company Invited,1,14,Salaried,Male,3,4,Deluxe,4,Divorced,2,0,3,1,2,Manager,20130,0
32,Self Enquiry,1,35,Salaried,Female,2,4,Basic,4,Single,2,0,3,1,0,Executive,17837,0
41,Company Invited,1,18,Large Business,Female,4,4,Deluxe,3,Married,3,0,3,1,2,Manager,25001,0
41,Self Enquiry,1,7,Salaried,Male,3,4,Basic,4,Divorced,5,0,1,1,2,Executive,21065,0
39,Company Invited,1,6,Salaried,Male,2,3,King,3,Married,2,1,3,0,1,VP,34197,0
33,Company Invited,1,12,Large Business,Male,4,4,Basic,4,Unmarried,4,0,3,1,2,Executive,21396,0
53,Self Enquiry,1,13,Salaried,Male,2,2,Super Deluxe,3,Divorced,4,0,2,0,0,AVP,29814,0
37,Self Enquiry,1,14,Salaried,Male,4,4,Basic,3,Unmarried,4,0,3,0,3,Executive,23356,0
44,Self Enquiry,1,9,Salaried,Male,2,3,Basic,5,Divorced,5,0,5,1,1,Executive,17362,1
36,Self Enquiry,1,7,Salaried,Female,3,2,Basic,3,Single,5,0,3,1,2,Executive,21184,0
37,Self Enquiry,3,24,Small Business,Male,3,5,Deluxe,4,Married,4,0,4,1,1,Manager,24185,0
39,Self Enquiry,1,6,Small Business,Female,3,3,Basic,3,Married,1,0,3,1,0,Executive,17232,0
31,Company Invited,3,26,Small Business,Female,2,3,Deluxe,3,Divorced,2,0,2,1,0,Manager,21932,0
35,Self Enquiry,3,14,Salaried,Female,3,3,Basic,3,Married,2,0,3,1,2,Executive,17572,0
18,Company Invited,1,11,Salaried,Male,3,3,Basic,3,Single,2,0,1,0,1,Executive,16051,0
28,Self Enquiry,1,8,Salaried,Male,3,4,Basic,4,Married,1,0,1,0,2,Executive,18201,0
35,Self Enquiry,1,7,Salaried,Male,3,5,Basic,3,Married,3,1,1,1,2,Executive,22300,0
34,Company Invited,3,7,Salaried,Female,3,3,Deluxe,5,Divorced,4,0,3,1,1,Manager,24054,0
32,Company Invited,1,10,Small Business,Male,4,4,Standard,3,Married,2,0,4,1,3,Senior Manager,32353,0
30,Self Enquiry,1,22,Salaried,Female,4,6,Basic,3,Married,2,1,5,1,2,Executive,20846,0
39,Self Enquiry,1,8,Salaried,Female,3,3,Basic,5,Married,2,1,1,1,0,Executive,32123,1
44,Self Enquiry,1,13,Small Business,Female,4,5,Deluxe,3,Unmarried,3,1,4,1,2,Manager,22759,0
29,Self Enquiry,3,16,Small Business,Male,2,3,Basic,4,Married,2,0,1,1,0,Executive,17297,0
25,Self Enquiry,3,11,Small Business,Female,3,4,Deluxe,3,Divorced,3,1,5,1,1,Manager,22840,0
41,Self Enquiry,1,17,Salaried,Female,3,2,Basic,3,Married,5,1,3,0,2,Executive,20891,0
36,Company Invited,1,9,Small Business,Male,4,5,Basic,3,Unmarried,2,1,3,1,1,Executive,23608,0
37,Self Enquiry,1,21,Salaried,Male,4,4,Deluxe,3,Divorced,2,1,5,1,3,Manager,25264,0
53,Self Enquiry,1,8,Large Business,Female,3,4,Standard,3,Married,1,0,5,1,2,Senior Manager,25169,1
36,Company Invited,1,17,Salaried,Male,3,4,Deluxe,4,Unmarried,2,0,4,1,1,Manager,21499,0
36,Company Invited,3,6,Small Business,Female,2,3,Deluxe,3,Unmarried,5,0,2,1,1,Manager,21653,0
46,Self Enquiry,1,9,Salaried,Female,4,5,Basic,3,Single,3,0,3,1,2,Executive,20952,0
35,Self Enquiry,1,36,Small Business,Male,3,4,Deluxe,3,Divorced,6,0,3,0,1,Manager,24107,0
34,Self Enquiry,3,9,Salaried,Female,2,5,Deluxe,3,Single,6,0,1,1,0,Manager,21029,0
40,Self Enquiry,3,10,Small Business,Male,3,4,Standard,3,Divorced,1,0,2,1,0,Senior Manager,25855,0
46,Self Enquiry,3,9,Large Business,Male,3,6,Deluxe,3,Unmarried,2,0,5,0,1,Manager,25310,0
57,Self Enquiry,1,15,Salaried,Female,4,4,Basic,5,Married,6,1,4,1,2,Executive,22935,0
34,Self Enquiry,3,20,Large Business,Female,2,3,Basic,3,Married,2,1,5,1,1,Executive,17579,0
31,Company Invited,1,10,Salaried,Male,3,4,Basic,3,Divorced,6,0,3,0,2,Executive,20775,0
55,Self Enquiry,1,26,Small Business,Female,4,4,Deluxe,5,Married,2,1,3,0,1,Manager,24163,0
51,Self Enquiry,1,8,Small Business,Male,2,5,Deluxe,4,Married,6,0,1,0,1,Manager,20482,0
34,Company Invited,1,10,Salaried,Female,3,4,Basic,3,Married,3,1,1,1,2,Executive,21587,0
36,Self Enquiry,1,11,Salaried,Female,2,3,Standard,5,Married,5,0,4,1,1,Senior Manager,23008,0
30,Self Enquiry,1,10,Small Business,Male,4,5,Standard,3,Divorced,3,0,2,1,3,Senior Manager,30613,0
45,Company Invited,3,8,Large Business,Male,4,4,Basic,3,Married,5,0,3,1,2,Executive,26656,1
35,Self Enquiry,3,21,Large Business,Female,3,4,Basic,3,Married,3,1,5,1,1,Executive,21257,0
51,Self Enquiry,3,15,Small Business,Male,3,4,Basic,4,Divorced,2,0,2,1,1,Executive,22553,0
28,Self Enquiry,1,6,Salaried,Female,3,5,Basic,4,Single,1,1,2,1,0,Executive,17216,1
36,Self Enquiry,1,32,Small Business,Female,3,4,Standard,3,Married,3,1,3,0,2,Senior Manager,29066,0
41,Self Enquiry,1,9,Salaried,Female,3,4,Basic,5,Married,6,0,4,1,2,Executive,22055,0
20,Self Enquiry,1,17,Small Business,Female,3,4,Basic,5,Single,2,1,3,0,1,Executive,17600,1
33,Company Invited,1,9,Salaried,Male,4,4,Basic,3,Unmarried,2,0,5,1,2,Executive,21746,0
25,Company Invited,1,16,Small Business,Male,3,4,Basic,5,Unmarried,4,1,3,0,2,Executive,21850,1
40,Self Enquiry,3,6,Small Business,Male,2,5,Deluxe,3,Divorced,3,1,3,1,0,Manager,22457,0
30,Self Enquiry,3,11,Small Business,Female,1,4,Deluxe,3,Married,2,0,2,0,0,Manager,21118,0
52,Self Enquiry,1,15,Salaried,Male,3,5,Standard,4,Divorced,7,0,3,1,2,Senior Manager,31168,0
30,Self Enquiry,1,9,Salaried,Male,4,4,Basic,4,Divorced,2,0,4,0,1,Executive,21381,0
33,Self Enquiry,1,10,Small Business,Female,2,4,Basic,4,Divorced,7,0,4,0,0,Executive,17622,0
52,Self Enquiry,1,8,Salaried,Female,2,4,Basic,3,Single,1,0,3,1,0,Executive,18212,0
37,Company Invited,3,7,Small Business,Female,3,4,Deluxe,3,Unmarried,6,0,2,1,2,Manager,25331,0
31,Self Enquiry,3,22,Small Business,Male,4,5,Standard,5,Married,4,0,1,0,3,Senior Manager,25818,0
41,Self Enquiry,3,33,Small Business,Male,4,4,Deluxe,5,Married,3,0,1,1,3,Manager,27074,0
45,Company Invited,3,15,Salaried,Female,3,4,Deluxe,3,Divorced,2,0,3,0,0,Manager,20593,0
27,Self Enquiry,3,35,Small Business,Male,4,4,Deluxe,4,Married,3,0,3,0,1,Manager,24950,0
38,Self Enquiry,3,6,Salaried,Male,2,4,Basic,5,Single,5,0,3,0,1,Executive,17858,0
50,Company Invited,3,6,Salaried,Female,3,3,Deluxe,3,Married,1,0,1,0,1,Manager,21347,0
51,Company Invited,1,12,Small Business,Female,2,4,Basic,3,Single,1,0,5,1,1,Executive,17838,0
54,Self Enquiry,1,13,Small Business,Female,3,3,Deluxe,3,Married,5,0,3,1,1,Manager,21854,0
52,Self Enquiry,3,9,Small Business,Male,2,4,Super Deluxe,5,Divorced,2,0,5,1,0,AVP,31856,0
25,Self Enquiry,3,25,Small Business,Male,2,4,Basic,4,Married,2,1,1,0,1,Executive,17413,1
27,Self Enquiry,1,10,Salaried,Male,3,3,Basic,3,Married,2,0,4,1,1,Executive,17517,0
28,Self Enquiry,1,12,Salaried,Female,3,4,Basic,4,Single,3,1,3,0,2,Executive,21156,0
35,Self Enquiry,3,9,Salaried,Male,3,3,Standard,3,Married,7,0,5,0,1,Senior Manager,22823,0
51,Company Invited,3,19,Salaried,Male,3,4,Deluxe,3,Single,5,1,3,1,2,Manager,35558,1
53,Self Enquiry,3,30,Salaried,Male,3,3,Standard,5,Unmarried,7,1,3,1,2,Senior Manager,25448,1
31,Self Enquiry,3,12,Salaried,Male,3,5,Deluxe,3,Divorced,5,1,3,1,1,Manager,21172,1
21,Self Enquiry,1,24,Salaried,Female,3,3,Basic,3,Single,2,0,3,1,2,Executive,17693,1
31,Self Enquiry,1,9,Salaried,Male,4,4,Basic,4,Single,3,0,3,0,1,Executive,30594,1
29,Company Invited,1,7,Salaried,Female,3,6,Deluxe,3,Divorced,2,0,3,1,1,Manager,25352,0
59,Company Invited,1,9,Salaried,Male,3,5,Basic,3,Married,2,1,2,0,1,Executive,21058,1
50,Self Enquiry,1,35,Salaried,Male,2,4,Super Deluxe,3,Married,1,0,5,1,1,AVP,32046,0
50,Company Invited,3,18,Small Business,Female,3,3,Standard,3,Unmarried,5,0,5,1,2,Senior Manager,24208,0
27,Self Enquiry,1,9,Small Business,Male,3,2,Deluxe,3,Married,3,0,3,1,2,Manager,24150,0
39,Self Enquiry,1,22,Salaried,Male,4,5,Standard,3,Married,2,1,5,1,3,Senior Manager,30188,0
24,Self Enquiry,1,17,Small Business,Male,4,3,Basic,3,Unmarried,3,0,2,1,2,Executive,22183,0
36,Self Enquiry,1,11,Salaried,Male,3,3,Deluxe,4,Single,1,0,2,0,2,Manager,20914,0
24,Self Enquiry,1,33,Salaried,Male,3,4,Basic,3,Married,3,0,2,1,2,Executive,21582,0
38,Self Enquiry,3,16,Small Business,Male,3,4,Standard,3,Married,1,1,3,1,0,Senior Manager,23740,0
32,Self Enquiry,3,16,Small Business,Male,2,3,Deluxe,3,Single,2,0,4,0,1,Manager,20396,0
34,Company Invited,1,7,Salaried,Female,3,2,Deluxe,4,Married,3,1,3,1,1,Manager,24166,0
33,Self Enquiry,3,20,Salaried,Male,4,4,Deluxe,3,Married,4,0,2,0,1,Manager,23081,0
30,Self Enquiry,3,35,Large Business,Male,2,3,Standard,4,Married,4,0,4,0,1,Senior Manager,24250,0
32,Self Enquiry,1,11,Salaried,Male,3,1,Basic,4,Married,1,1,1,1,2,Executive,18298,0
28,Self Enquiry,1,11,Salaried,Male,3,2,Deluxe,4,Married,3,1,4,1,1,Manager,24820,0
52,Self Enquiry,1,8,Salaried,Female,2,4,Basic,3,Single,1,0,3,0,0,Executive,18212,0
35,Self Enquiry,3,9,Small Business,Female,3,4,Deluxe,5,Unmarried,2,1,3,1,1,Manager,23216,0
30,Company Invited,1,17,Salaried,Female,4,4,Basic,4,Married,2,0,5,1,1,Executive,21969,0
37,Self Enquiry,1,25,Salaried,Male,3,3,Basic,4,Divorced,5,0,4,1,1,Executive,18022,0
47,Self Enquiry,3,8,Salaried,Female,3,4,Basic,3,Single,2,1,2,1,0,Executive,18294,0
40,Self Enquiry,3,16,Large Business,Female,2,4,Deluxe,4,Married,1,0,5,1,0,Manager,21852,0
27,Company Invited,1,15,Small Business,Male,2,3,Basic,4,Married,7,0,3,0,0,Executive,17024,0
35,Self Enquiry,3,35,Small Business,Female,4,5,Deluxe,3,Married,3,0,5,1,1,Manager,25390,0
39,Company Invited,1,9,Salaried,Female,4,2,Deluxe,5,Unmarried,8,1,2,1,3,Manager,24658,0
42,Self Enquiry,3,13,Small Business,Male,3,4,Standard,3,Unmarried,3,0,5,1,1,Senior Manager,27919,0
29,Self Enquiry,1,8,Salaried,Male,3,3,Basic,4,Divorced,1,0,4,0,0,Executive,17703,0
26,Self Enquiry,3,20,Small Business,Male,3,4,Basic,3,Divorced,3,0,3,1,1,Executive,20774,0
33,Self Enquiry,1,31,Small Business,Male,2,4,Basic,4,Single,5,1,4,0,0,Executive,17313,1
42,Self Enquiry,1,8,Salaried,Male,3,4,Deluxe,3,Unmarried,4,0,1,1,0,Manager,21781,0
